duration,cast_total_facebook_likes,title_year,imdb_score,movie_facebook_likes,director_id,actor_2_id,actor_1_id,actor_3_id,Action,Sport,Reality-TV,Animation,Western,Music,Comedy,Adventure,Short,Musical,Documentary,Film-Noir,News,Sci-Fi,Game-Show,War,Thriller,Fantasy,Drama,Horror,Family,Mystery,Biography,Crime,History,Romance,language_id,country_id,content_rating_id,movie_title
178,4834,2009,7.9,33000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Avatar
169,48350,2007,7.1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pirates of the Caribbean: At World's End
148,11700,2015,6.8,85000,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Spectre
164,106759,2012,8.5,164000,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The Dark Knight Rises
107,143,0,7.1,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Star Wars: Episode VII - The Force Awakens
132,1873,2012,6.6,24000,5,5,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Carter
156,46055,2007,6.2,0,6,6,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Spider-Man 3
100,2036,2010,7.8,29000,7,7,7,7,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,Tangled
141,92000,2015,7.5,118000,8,8,8,8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Avengers: Age of Ultron
153,58753,2009,7.5,10000,9,9,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,Harry Potter and the Half-Blood Prince
183,24450,2016,6.9,197000,10,10,10,10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Batman v Superman: Dawn of Justice
169,29991,2006,6.1,0,11,11,11,11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Superman Returns
106,2023,2008,6.7,0,12,12,12,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Quantum of Solace
151,48486,2006,7.3,5000,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pirates of the Caribbean: Dead Man's Chest
150,45757,2013,6.5,48000,1,13,1,13,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Lone Ranger
